,index,ID,Variables,Original scale,Recoded “positive” scale,list_answer_options,applies_to
0,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q1
1,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q2
2,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q3
3,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q4
4,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q5
5,0,Q1-6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,4=Very important 3=Rather important 2=Not very important 1=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",Q6
6,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q7
7,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q8
8,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q9
9,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q10
10,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q11
11,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q12
12,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q13
13,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q14
14,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q15
15,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q16
16,1,Q7-17,Important child qualities,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q17
17,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q18
18,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q19
19,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q20
20,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q21
21,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q22
22,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q23
23,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q24
24,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q25
25,2,Q18-26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,1=Mentioned 0=Not mentioned,"['1=Mentioned ', '2=Not mentioned']",Q26
26,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q27
27,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q28
28,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q29
29,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q30
30,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q31
31,3,Q27-32,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,4=Strongly agree 3=Agree 2=Disagree 1=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",Q32
32,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q33
33,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q34
34,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q35
35,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q36
36,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q37
37,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q38
38,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q39
39,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q40
40,4,Q33-41,Set of statements on social attitudes,"1=Strongly agree 2=Agree 3=Neither agree, nor disagree 4=Disagree 5=Strongly disagree","5=Strongly agree 4=Agree 3=Neither agree, nor disagree 2=Disagree 1=Strongly disagree","['1=Strongly agree ', '2=Agree ', '3=Neither agree, nor disagree ', '4=Disagree ', '5=Strongly disagree']",Q41
41,5,Q42,How the society should be changed,3 answer options,No changes,"['1.- The entire way our society is organized must be  radically changed by revolutionary action ', '2.- Our society must be gradually improved by refor ms ', '3.- Our present society must be valiantly defended against all subversive forces ', '-1-.- Don´t know ', '-2-.- No answer ', '-4-.- Not asked ', '-5-.- Missing; Not available']",Q42
42,6,Q43-45,Changes in our way of life that might take place in the near future,1=Good 2=Don’t mind 3=Bad,3=Good 2=Don’t mind 1=Bad,"['1=Good ', '2=Don’t mind ', '3=Bad']",Q43
43,6,Q43-45,Changes in our way of life that might take place in the near future,1=Good 2=Don’t mind 3=Bad,3=Good 2=Don’t mind 1=Bad,"['1=Good ', '2=Don’t mind ', '3=Bad']",Q44
