,question_ID,full_question_ID,question,applies_to,Variables,Original scale,list_answer_options,list_answer_no_refusal,len_answer_options,odd_answer_options,list_answer_no_middle
0,Q1,Q1,"Important in life: Family For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Q1,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
1,Q2,Q2,"Important in life: Friends For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Q2,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
2,Q3,Q3,"Important in life: Leisure time For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Q3,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
3,Q4,Q4,"Important in life: Politics For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Q4,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
4,Q5,Q5,"Important in life: Work For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Q5,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
5,Q6,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Q6,"Importance of family, friends, work, politics, religion",1=Very important 2=Rather important 3=Not very important 4=Not important at all,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']",4,False,"['1=Very important ', '2=Rather important ', '3=Not very important ', '4=Not important at all']"
6,Q7,Q7,"Important child qualities: Good manners Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Good manners",Q7,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
7,Q8,Q8,"Important child qualities: Independence Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Independence",Q8,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
8,Q9,Q9,"Important child qualities: Hard work Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Hard work",Q9,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
9,Q10,Q10,"Important child qualities: Feeling of responsibility Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Feeling of responsibility",Q10,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
10,Q11,Q11,"Important child qualities: Imagination Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Imagination",Q11,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
11,Q12,Q12,"Important child qualities: Tolerance and respect for other people Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people",Q12,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
12,Q13,Q13,"Important child qualities: Thrift saving money and things Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Thrift saving money and things",Q13,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
13,Q14,Q14,"Important child qualities: Determination perseverance Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Determination, perseverance",Q14,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
14,Q15,Q15,"Important child qualities: Religious faith Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Religious faith",Q15,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
15,Q16,Q16,"Important child qualities: Unselfishness Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Not being selfishunselfishness",Q16,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
16,Q17,Q17,"Important child qualities: Obedience Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Obedience",Q17,Important child qualities,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
17,Q18,Q18,Neighbours: Drug addicts On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Drug addicts,Q18,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
18,Q19,Q19,Neighbours: People of a different race On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different race,Q19,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
19,Q20,Q20,Neighbours: People who have AIDS On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who have AIDS,Q20,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
20,Q21,Q21,Neighbours: Immigrantsforeign workers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Immigrantsforeign workers,Q21,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
21,Q22,Q22,Neighbours: Homosexuals On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Homosexuals,Q22,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
22,Q23,Q23,Neighbours: People of a different religion On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different religion,Q23,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
23,Q24,Q24,Neighbours: Heavy drinkers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Heavy drinkers,Q24,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
24,Q25,Q25,Neighbours: Unmarried couples living together On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Unmarried couples living together,Q25,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
25,Q26,Q26,Neighbours: People who speak a different language On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who speak a different language,Q26,Not acceptable as neighbours,1=Mentioned 2=Not mentioned,"['1=Mentioned ', '2=Not mentioned', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Mentioned ', '2=Not mentioned']",2,False,"['1=Mentioned ', '2=Not mentioned']"
26,Q27,Q27,"One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? One of my main goals in life has been to make my parents proud",Q27,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",4,False,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']"
27,Q28,Q28,"Areschool child suffers with working mother For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? When a mother works for pay, the children suffer",Q28,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",4,False,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']"
28,Q29,Q29,"Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? On the whole, men make better political leaders than women do",Q29,Set of statements on social attitudes,1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', '-1=Don´t know', '-2=No answer', '-4=Not asked in this country', '-5=Missing; Not available']","['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']",4,False,"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree']"
